Extracted_Advertised_ASIN,Impressions,Clicks,Spend,Sales,Orders,Unique_Search_Terms,CPC,ACOS,Conversion_Rate
ParentGroup_APRQ8M752664,243492,3549,2724.8,10704.41,551,1166,0.7678,0.2545,0.1553
B08SW1Y38V,103086,2552,2071.2,5151.04,488,833,0.8116,0.4021,0.1912
ParentGroup_APRQ8M705313,51572,978,938.21,2282.01,84,300,0.9593,0.4111,0.0859
ParentGroup_APRQ8M727206,65486,763,698.4600000000002,1971.7100000000003,177,119,0.9154,0.3542,0.232
B08KT7WD1L,28277,588,458.03000000000003,1294.78,74,239,0.779,0.3538,0.1259
B08KTB4CC7,9571,313,344.32,1260.36,63,92,1.1001,0.2732,0.2013
ParentGroup_APRQ8M705420,6507,251,168.75,523.17,38,153,0.6723,0.3226,0.1514
B08FNJRFKY,12069,176,152.53000000000003,406.62,38,23,0.8666,0.3751,0.2159
B08SW2CFYB,8951,195,143.56000000000003,401.6,40,42,0.7362,0.3575,0.2051
ParentGroup_APRQ8M793901,12503,164,101.61,236.19999999999996,14,38,0.6196,0.4302,0.0854
B08LVDLZRQ,9536,104,94.24000000000001,264.91,9,40,0.9062,0.3557,0.0865
B08LVC66BP,4124,117,75.35,383.86,14,71,0.644,0.1963,0.1197
B08FNQMX4P,2668,72,49.28,189.82,18,32,0.6844,0.2596,0.25
B08KT7YFFW,357,91,25.0,39.98,2,83,0.2747,0.6253,0.022
B0CFFZ17F4,2258,35,21.59,98.92,7,13,0.6169,0.2183,0.2
B08LVBWH4M,326,14,15.9,38.99,1,11,1.1357,0.4078,0.0714
B0F2G7W7WR,5,4,3.5,0.0,0,3,0.875,0,0.0
B09JFPK3RK,27,9,1.85,9.99,1,8,0.2056,0.1852,0.1111
B0B5B9466T,2,1,1.01,0.0,0,1,1.01,0,0.0
B08LVB3Q6P,4,3,1.0,0.0,0,3,0.3333,0,0.0
B08LVBPGC2,1,1,0.44,0.0,0,1,0.44,0,0.0
